context_key,row_id,relationship_class,cellchat_interaction_name,cellchat_pathway_name,mechanism_label,pair_count,sciteconcept_pass_rate,sciteconcept_checkpoints,base_scconcept_pass_rate,base_scconcept_checkpoints,delta_pass_rate
ccb_668_spp1_itgav_itgb5|preflight_pairs=94,ccb_668_spp1_itgav_itgb5,coexpressive,SPP1_ITGAV_ITGB5,SPP1,SPP1_ITGAV_ITGB5 SPP1 matrix/adhesion response,98,1.0,33,0.525,80,0.475
ccb_227_ccl3_ccr1|preflight_pairs=45,ccb_227_ccl3_ccr1,coexpressive,CCL3_CCR1,CCL,CCL3_CCR1 chemokine receptor context,68,1.0,33,0.5625,80,0.4375
ccb_019_ccl2_ccr2|preflight_pairs=58,ccb_019_ccl2_ccr2,coexpressive,CCL2_CCR2,CCL,CCL2 to CCR2 myeloid recruitment context,85,0.9696969696969696,33,0.5875,80,0.3821969696969697
ccb_193_pdgfc_pdgfra|preflight_pairs=112,ccb_193_pdgfc_pdgfra,coexpressive,PDGFC_PDGFRA,PDGF,PDGFC_PDGFRA perivascular stromal response,72,0.7878787878787878,33,0.5,80,0.2878787878787878
ccb_1188_efna1_epha7|preflight_pairs=55,ccb_1188_efna1_epha7,coexpressive,EFNA1_EPHA7,EPHA,EFNA1_EPHA7 contact-dependent migration/state response,46,0.6666666666666666,33,0.3875,80,0.2791666666666666
ccb_879_lamb3_itga1_itgb1|preflight_pairs=118,ccb_879_lamb3_itga1_itgb1,coexpressive,LAMB3_ITGA1_ITGB1,LAMININ,LAMB3_ITGA1_ITGB1 ECM/integrin matrix response,135,0.5757575757575758,33,0.3,80,0.2757575757575758
ccb_711_col4a2_itga3_itgb1|preflight_pairs=127,ccb_711_col4a2_itga3_itgb1,coexpressive,COL4A2_ITGA3_ITGB1,COLLAGEN,COL4A2_ITGA3_ITGB1 ECM/integrin matrix response,116,0.9696969696969696,33,0.725,80,0.2446969696969697
ccb_191_pdgfa_pdgfrb|preflight_pairs=240,ccb_191_pdgfa_pdgfrb,coexpressive,PDGFA_PDGFRB,PDGF,PDGFA_PDGFRB perivascular stromal response,263,0.6666666666666666,33,0.4625,80,0.2041666666666666
ccb_684_col6a2_itga1_itgb1|preflight_pairs=58,ccb_684_col6a2_itga1_itgb1,coexpressive,COL6A2_ITGA1_ITGB1,COLLAGEN,COL6A2_ITGA1_ITGB1 ECM/integrin matrix response,47,0.9393939393939394,33,0.7375,80,0.2018939393939394
ccb_718_col6a3_itga3_itgb1|preflight_pairs=121,ccb_718_col6a3_itga3_itgb1,coexpressive,COL6A3_ITGA3_ITGB1,COLLAGEN,COL6A3_ITGA3_ITGB1 ECM/integrin matrix response,115,0.7575757575757576,33,0.5875,80,0.1700757575757575
ccb_778_col4a1_itgav_itgb8|preflight_pairs=69,ccb_778_col4a1_itgav_itgb8,coexpressive,COL4A1_ITGAV_ITGB8,COLLAGEN,COL4A1_ITGAV_ITGB8 ECM/integrin matrix response,62,0.6666666666666666,33,0.5,80,0.1666666666666666
ccb_014_vegfa_vegfr2|preflight_pairs=199,ccb_014_vegfa_vegfr2,coexpressive,VEGFA_VEGFR2,VEGF,VEGFA to KDR angiogenic response,224,0.8484848484848485,33,0.6875,80,0.1609848484848485
ccb_779_col4a2_itgav_itgb8|preflight_pairs=53,ccb_779_col4a2_itgav_itgb8,coexpressive,COL4A2_ITGAV_ITGB8,COLLAGEN,COL4A2_ITGAV_ITGB8 ECM/integrin matrix response,123,0.9393939393939394,33,0.7875,80,0.1518939393939394
ccb_1221_efnb1_ephb2|preflight_pairs=82,ccb_1221_efnb1_ephb2,coexpressive,EFNB1_EPHB2,EPHB,EFNB1_EPHB2 contact-dependent migration/state response,68,0.5454545454545454,33,0.4125,80,0.1329545454545454
ccb_026_spp1_cd44|preflight_pairs=237,ccb_026_spp1_cd44,coexpressive,SPP1_CD44,SPP1,SPP1 to CD44 matrix/myeloid response,275,1.0,33,0.875,80,0.125
ccb_187_vegfa_vegfr1r2|preflight_pairs=127,ccb_187_vegfa_vegfr1r2,coexpressive,VEGFA_VEGFR1R2,VEGF,VEGFA_VEGFR1R2 VEGF angiogenic response,139,0.8181818181818182,33,0.7,80,0.1181818181818182
ccb_870_fn1_sdc1|preflight_pairs=442,ccb_870_fn1_sdc1,coexpressive,FN1_SDC1,FN1,FN1_SDC1 ECM/integrin matrix response,449,0.8787878787878788,33,0.775,80,0.1037878787878787
ccb_023_jag1_notch1|preflight_pairs=373,ccb_023_jag1_notch1,coexpressive,JAG1_NOTCH1,NOTCH,JAG1 to NOTCH1 target response,416,1.0,33,0.9,80,0.0999999999999999
ccb_674_col1a1_itga1_itgb1|preflight_pairs=535,ccb_674_col1a1_itga1_itgb1,coexpressive,COL1A1_ITGA1_ITGB1,COLLAGEN,COL1A1_ITGA1_ITGB1 ECM/integrin matrix response,626,1.0,33,0.9,80,0.0999999999999999
ccb_1216_efna5_epha7|preflight_pairs=81,ccb_1216_efna5_epha7,coexpressive,EFNA5_EPHA7,EPHA,EFNA5_EPHA7 contact-dependent migration/state response,106,0.5454545454545454,33,0.45,80,0.0954545454545454
ccb_028_col1a1_itga2_itgb1|preflight_pairs=52,ccb_028_col1a1_itga2_itgb1,coexpressive,COL1A1_ITGA2_ITGB1,COLLAGEN,COL1A1 to ITGA2/ITGB1 matrix response,73,1.0,33,0.9125,80,0.0875
ccb_249_ccl5_ccr4|preflight_pairs=41,ccb_249_ccl5_ccr4,coexpressive,CCL5_CCR4,CCL,CCL5_CCR4 chemokine receptor context,86,1.0,33,0.9125,80,0.0875
ccb_159_fgf9_fgfr1|preflight_pairs=78,ccb_159_fgf9_fgfr1,coexpressive,FGF9_FGFR1,FGF,FGF9_FGFR1 FGF/MAPK response,64,0.5454545454545454,33,0.475,80,0.0704545454545454
ccb_316_dll1_notch2|preflight_pairs=149,ccb_316_dll1_notch2,coexpressive,DLL1_NOTCH2,NOTCH,DLL1_NOTCH2 NOTCH target response,144,0.6060606060606061,33,0.5375,80,0.0685606060606061
