model,source_view,target_view,queries,classes,accuracy,macro_f1,balanced_accuracy
base_scConcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,561,6,0.5187165775401069,0.4508196578661998,0.5249795275735125
base_scConcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,397,6,0.7808564231738035,0.6674080243410367,0.7674101731403963
base_scConcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,923,7,0.6316359696641387,0.6121343821643508,0.6237263453795299
base_scConcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,815,7,0.6049079754601226,0.5945770875537348,0.6108028020235332
base_scConcept,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,823,6,0.4641555285540705,0.4190750758397067,0.4605831707281133
base_scConcept,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,665,6,0.5338345864661654,0.5500117931964811,0.5374392844442649
base_scConcept,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,624,6,0.7836538461538461,0.778839728428656,0.7810264280541713
base_scConcept,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,533,6,0.6923076923076923,0.6693319191706316,0.6740253157908005
base_scConcept,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,547,5,0.5685557586837294,0.5362925021774599,0.567883908801129
base_scConcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,553,6,0.6546112115732369,0.6445594117937841,0.6500855215827356
base_scConcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,518,6,0.6544401544401545,0.6380219995241306,0.6589782129788632
base_scConcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,475,6,0.6273684210526316,0.6243167288042111,0.6494871234545828
base_scConcept,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,455,5,0.4637362637362637,0.4155869912626226,0.4691662510333896
base_scConcept,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,960,7,0.5385416666666667,0.5445519671863642,0.539044067384004
base_scConcept,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,554,6,0.6516245487364621,0.5738229845804872,0.6557544781686658
base_scConcept,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,387,6,0.599483204134367,0.5305063244156166,0.6384518030055556
base_scConcept,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,942,7,0.535031847133758,0.5391462708227913,0.5393126380812308
base_scConcept,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,541,6,0.6136783733826248,0.539464461181258,0.6138745809714898
base_scConcept,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,374,6,0.6203208556149733,0.5441362916895994,0.6719409827585302
base_scConcept,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,855,6,0.4748538011695906,0.4758341232324372,0.4735691462603022
