model,state,source_view,target_view,queries,patients,balanced_accuracy,auroc
base_scConcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,460,23,0.6416438495081636,0.7308082344589799
base_scConcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,270,19,0.6224662162162162,0.7136824324324325
base_scConcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,655,25,0.5648755272878281,0.6038292570978953
base_scConcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,577,25,0.6047230144326333,0.6576066603289834
base_scConcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,601,25,0.5768770374898124,0.6154237978810105
base_scConcept,tumor,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,471,21,0.6383043259978245,0.7000669400050206
base_scConcept,tumor,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,445,21,0.6242995415180845,0.6995554114759414
base_scConcept,tumor,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,381,21,0.6019365856802217,0.6372688019591417
base_scConcept,tumor,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,417,21,0.6557855348545112,0.7282813481264392
base_scConcept,tumor,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,115,14,0.6866223207686621,0.7121212121212122
base_scConcept,tumor,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,109,14,0.6337882547559968,0.7109181141439206
base_scConcept,tumor,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,97,14,0.6417342799188641,0.7322515212981745
base_scConcept,tumor,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,105,14,0.6079545454545454,0.6843434343434344
base_scConcept,tumor,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,679,25,0.5835895347653466,0.5989208999287386
base_scConcept,tumor,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,455,23,0.6615089777228996,0.6984616967639039
base_scConcept,tumor,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,270,19,0.6582207207207207,0.646584084084084
base_scConcept,tumor,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,643,25,0.634682421114582,0.6422427452578207
base_scConcept,tumor,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,424,23,0.6275785278949836,0.6351676043131739
base_scConcept,tumor,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,250,19,0.6331311088641726,0.5918436130771825
base_scConcept,tumor,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,617,25,0.5858558163339914,0.6144500499622236
base_scConcept,tumor,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,406,23,0.6847798742138365,0.71562893081761
base_scConcept,tumor,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,235,19,0.6242690058479532,0.6302923976608188
base_scConcept,pdl1,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,441,21,0.5287390694604851,0.5716672166309189
base_scConcept,pdl1,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,262,20,0.5381679389312977,0.5747916788065963
base_scConcept,pdl1,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,676,26,0.4926207097921589,0.4891832346773551
base_scConcept,pdl1,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,594,25,0.4982870412949508,0.514669364480824
base_scConcept,pdl1,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,601,26,0.4515070981632241,0.452813474175245
base_scConcept,pdl1,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,529,21,0.5159646251471559,0.5608292416803056
base_scConcept,pdl1,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,500,21,0.5504256240080796,0.5647894323410122
base_scConcept,pdl1,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,438,21,0.5424208144796381,0.5671401039048098
base_scConcept,pdl1,zenodo_tma_2023_merscope_breast_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,440,21,0.5881279674897887,0.6129874976674753
base_scConcept,pdl1,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,434,19,0.5487009515663424,0.5715599272960548
base_scConcept,pdl1,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,412,19,0.495931467296633,0.5010141503806047
base_scConcept,pdl1,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,363,18,0.5177110878789742,0.5163274091384293
base_scConcept,pdl1,zenodo_tma_2023_merscope_lung_tTMA1,zenodo_tma_2023_xenium_panhuman_tTMA1,353,19,0.4566575556423272,0.4668749186515684
base_scConcept,pdl1,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,705,26,0.4721179427750665,0.4747906703445574
base_scConcept,pdl1,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,436,21,0.5481735977910335,0.5774086798895517
base_scConcept,pdl1,zenodo_tma_2023_xenium_breast_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,257,20,0.449230582818369,0.4784320853023143
base_scConcept,pdl1,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,622,24,0.5053187086092715,0.5465024834437087
base_scConcept,pdl1,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,375,19,0.5845134764732755,0.6115235267245318
base_scConcept,pdl1,zenodo_tma_2023_xenium_lung_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,224,18,0.5273155288578618,0.5390859647698678
base_scConcept,pdl1,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_cosmx_multitissue_tTMA1,530,24,0.5055031446540881,0.4974783434199596
base_scConcept,pdl1,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,316,19,0.5469961240310077,0.5588662790697674
base_scConcept,pdl1,zenodo_tma_2023_xenium_panhuman_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,189,18,0.4604143337066069,0.4482642777155654
sCITEconcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_breast_tTMA1,460,23,0.6403508771929824,0.7055065409187709
sCITEconcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_merscope_lung_tTMA1,270,19,0.6632882882882882,0.7593843843843844
sCITEconcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_breast_tTMA1,655,25,0.6865287522129696,0.7553603042423447
sCITEconcept,tumor,zenodo_tma_2023_cosmx_multitissue_tTMA1,zenodo_tma_2023_xenium_lung_tTMA1,577,25,0.6881427707199033,0.791720681012877
