family,benchmark,metric,primary,direction,sCITEconcept,base_scConcept,raw_delta,directional_delta,directional_relative_delta,result,note
CITE-seq validation,Held-out CITE-seq protein readout,protein_cosine_at50,True,higher,0.2956165324684415,0.2523661107444764,0.043250421723965,0.043250421723965,0.1713796737461181,win,protein neighborhood cosine
CITE-seq validation,Held-out CITE-seq protein readout,cross_platform_protein_cosine_at50,True,higher,0.0087310952135047,-0.0023534593444165,0.0110845545579211,0.0110845545579211,4.7098984667905635,win,cross-platform protein neighborhood cosine
CITE-seq validation,Held-out CITE-seq protein readout,protein_high_lift_at50,True,higher,5.411239957349732,4.719176825788864,0.6920631315608681,0.6920631315608681,0.1466491206218325,win,protein high-state enrichment
CITE-seq validation,Held-out CITE-seq protein readout,protein_ridge_mean_r2,True,higher,0.2488735169172287,0.1660898625850677,0.082783654332161,0.082783654332161,0.4984268939939725,win,linear protein readout
CITE-seq validation,Held-out CITE-seq protein readout,protein_ridge_median_r2,True,higher,0.2269711196422577,0.152330607175827,0.0746405124664306,0.0746405124664306,0.4899902511402529,win,linear protein readout
CITE-seq validation,Held-out CITE-seq protein readout,same_sample_at50,False,higher,0.4973274703798705,0.4232319530963723,0.0740955172834982,0.0740955172834982,0.175070707070707,win,same-sample locality
CITE-seq validation,Held-out CITE-seq protein readout,different_platform_at50,False,higher,0.0113374862587028,0.0029998778551361,0.0083376084035666,0.0083376084035666,2.7793159609121596,win,cross-platform mixing
CITE-seq validation,Held-out CITE-seq protein readout,protein_mask_jaccard_at50,False,higher,0.7579200717059156,0.7667879384755776,-0.008867866769662,-0.008867866769662,-0.0115649533915359,loss,protein high-mask overlap
Cell embedding,Held-out cohort A cell and marker probes,ct_random_macro_f1,True,higher,0.6024979100092874,0.5862207663161674,0.01627714369312,0.01627714369312,0.02776623522808,win,cell-type linear probe
Cell embedding,Held-out cohort A cell and marker probes,ct_leave_platform_macro_f1,True,higher,0.4312280167399765,0.4202335444000165,0.01099447233996,0.01099447233996,0.026162767076715,win,leave-platform cell-type transfer
Cell embedding,Held-out cohort A cell and marker probes,ct_leave_dataset_macro_f1,True,higher,0.4911548921380497,0.469096687837194,0.0220582043008557,0.0220582043008557,0.0470227244676502,win,leave-dataset cell-type transfer
Cell embedding,Held-out cohort A cell and marker probes,same_cell_type_at50,True,higher,0.4506024305555555,0.4168784722222222,0.0337239583333333,0.0337239583333333,0.0808963776746819,win,nearest-neighbor cell-type purity
Cell embedding,Held-out cohort A cell and marker probes,same_cell_type_tissue_at50,True,higher,0.3106527777777778,0.2833767361111111,0.0272760416666666,0.0272760416666666,0.0962536376167867,win,tight cell-type+tissue neighborhood
Cell embedding,Held-out cohort A cell and marker probes,cross_platform_top1_same_ct_tissue,True,higher,0.0825108917933671,0.075430469364566,0.007080422428801,0.007080422428801,0.093866874864326,win,cross-platform biological retrieval
